City,state_id,State full,County
Port Huron,MI,Michigan,St. Clair
Turlock,CA,California,Stanislaus
Rancho Cordova,CA,California,Sacramento
The Villages,FL,Florida,Sumter
Milpitas,CA,California,Santa Clara
Perris,CA,California,Riverside
Upland,CA,California,San Bernardino
Alton,IL,Illinois,Madison
Pleasanton,CA,California,Alameda
Kendall,FL,Florida,Miami-Dade
Jonesboro,AR,Arkansas,Craighead
Bellflower,CA,California,Los Angeles
Battle Creek,MI,Michigan,Calhoun
Chino Hills,CA,California,San Bernardino
Cheyenne,WY,Wyoming,Laramie
Lebanon,PA,Pennsylvania,Lebanon
Carmichael,CA,California,Sacramento
South Jordan,UT,Utah,Salt Lake
Davis,CA,California,Yolo
Elizabethtown,KY,Kentucky,Hardin
Schaumburg,IL,Illinois,Cook
Alameda,CA,California,Alameda
Hammond,IN,Indiana,Lake
Pasco,WA,Washington,Franklin
Evanston,IL,Illinois,Cook
Lehi,UT,Utah,Utah
Alexandria,LA,Louisiana,Rapides
North Port,FL,Florida,Sarasota
Arlington Heights,IL,Illinois,Cook
Camarillo,CA,California,Ventura
Wyoming,MI,Michigan,Kent
Flower Mound,TX,Texas,Denton
Bethlehem,PA,Pennsylvania,Northampton
Hattiesburg,MS,Mississippi,Forrest
Loveland,CO,Colorado,Larimer
Pittsburg,CA,California,Contra Costa
Cedar Park,TX,Texas,Williamson
Wenatchee,WA,Washington,Chelan
Southfield,MI,Michigan,Oakland
Rochester Hills,MI,Michigan,Oakland
Hammond,LA,Louisiana,Tangipahoa
Valdosta,GA,Georgia,Lowndes
Owensboro,KY,Kentucky,Daviess
Apple Valley,CA,California,San Bernardino
Woodbury,MN,Minnesota,Washington
Pawtucket,RI,Rhode Island,Providence
St. Joseph,MO,Missouri,Buchanan
Doral,FL,Florida,Miami-Dade
Dover,NH,New Hampshire,Strafford
Missouri City,TX,Texas,Fort Bend
Saratoga Springs,NY,New York,Saratoga
Pocatello,ID,Idaho,Bannock
Oshkosh,WI,Wisconsin,Winnebago
New Britain,CT,Connecticut,Capitol
Castle Rock,CO,Colorado,Douglas
Lauderhill,FL,Florida,Broward
Broomfield,CO,Colorado,Broomfield
Dale City,VA,Virginia,Prince William
Bolingbrook,IL,Illinois,Will
Redmond,WA,Washington,King
Caguas,PR,Puerto Rico,Caguas
Mansfield,TX,Texas,Tarrant
Ellicott City,MD,Maryland,Howard
Sheboygan,WI,Wisconsin,Sheboygan
Mansfield,OH,Ohio,Richland
Glens Falls,NY,New York,Warren
Daytona Beach,FL,Florida,Volusia
Lodi,CA,California,San Joaquin
Redlands,CA,California,San Bernardino
Harrisonburg,VA,Virginia,Harrisonburg
Dothan,AL,Alabama,Houston
Cleveland,TN,Tennessee,Bradley
Jackson,TN,Tennessee,Madison
Mount Vernon,NY,New York,Westchester
Centreville,VA,Virginia,Fairfax
Altoona,PA,Pennsylvania,Blair
Framingham,MA,Massachusetts,Middlesex
Camden,NJ,New Jersey,Camden
Georgetown,TX,Texas,Williamson
Baldwin Park,CA,California,Los Angeles
Rocklin,CA,California,Placer
Porterville,CA,California,Tulare
Tamarac,FL,Florida,Broward
Glen Burnie,MD,Maryland,Anne Arundel
Blacksburg,VA,Virginia,Montgomery
Wausau,WI,Wisconsin,Marathon
Sumter,SC,South Carolina,Sumter
Janesville,WI,Wisconsin,Rock
Brunswick,GA,Georgia,Glynn
Dublin,CA,California,Alameda
Wilmington,DE,Delaware,New Castle
Waukesha,WI,Wisconsin,Waukesha
Fairbanks,AK,Alaska,Fairbanks North Star
Lakeville,MN,Minnesota,Dakota
St. Charles,MO,Missouri,St. Charles
Redondo Beach,CA,California,Los Angeles
Spring Hill,TN,Tennessee,Maury
Bayonne,NJ,New Jersey,Hudson
Grand Forks,ND,North Dakota,Grand Forks
Noblesville,IN,Indiana,Hamilton
Guaynabo,PR,Puerto Rico,Guaynabo
El Paso de Robles,CA,California,San Luis Obispo
North Richland Hills,TX,Texas,Tarrant
Maple Grove,MN,Minnesota,Hennepin
Passaic,NJ,New Jersey,Passaic
Blaine,MN,Minnesota,Anoka
Lake Elsinore,CA,California,Riverside
Rogers,AR,Arkansas,Benton
Casas Adobes,AZ,Arizona,Pima
Sherman,TX,Texas,Grayson
Walnut Creek,CA,California,Contra Costa
Conway,AR,Arkansas,Faulkner
Eastvale,CA,California,Riverside
Union City,CA,California,Alameda
Michigan City,IN,Indiana,LaPorte
Poinciana,FL,Florida,Polk
Tulare,CA,California,Tulare
Gary,IN,Indiana,Lake
Gaithersburg,MD,Maryland,Montgomery
East Orange,NJ,New Jersey,Essex
Wesley Chapel,FL,Florida,Pasco
West Des Moines,IA,Iowa,Polk
Dalton,GA,Georgia,Whitfield
Dubuque,IA,Iowa,Dubuque
Schenectady,NY,New York,Schenectady
Ankeny,IA,Iowa,Polk
Maricopa,AZ,Arizona,Pinal
Eagan,MN,Minnesota,Dakota
Hanford,CA,California,Kings
Bristol,TN,Tennessee,Sullivan
Yorba Linda,CA,California,Orange
Weston,FL,Florida,Broward
Watsonville,CA,California,Santa Cruz
Palo Alto,CA,California,Santa Clara
South Hill,WA,Washington,Pierce
Shawnee,KS,Kansas,Johnson
San Marcos,TX,Texas,Hays
Great Falls,MT,Montana,Cascade
Haverhill,MA,Massachusetts,Essex
Union City,NJ,New Jersey,Hudson
Palatine,IL,Illinois,Cook
Longview,WA,Washington,Cowlitz
Corvallis,OR,Oregon,Benton
Rockville,MD,Maryland,Montgomery
Skokie,IL,Illinois,Cook
Mount Vernon,WA,Washington,Skagit
Casper,WY,Wyoming,Natrona
Ames,IA,Iowa,Story
Delray Beach,FL,Florida,Palm Beach
Sammamish,WA,Washington,King
Lynwood,CA,California,Los Angeles
Dundalk,MD,Maryland,Baltimore
Bethesda,MD,Maryland,Montgomery
Morristown,TN,Tennessee,Hamblen
